Date,Region,Product,Units Sold,Price,Revenue
2024-01-05,North,Laptop,90,1200,108000
2024-01-12,South,Keyboard,140,80,11200
2024-01-19,Central,Mouse,260,22,5720
2024-01-26,West,Monitor,95,320,30400
2024-02-02,Northeast,Laptop,70,1180,82600
2024-02-09,East,Webcam,160,55,
2024-02-16,North,Keyboard,130,78,10140
2024-02-23,Southwest,Mouse,210,24,5040
2024-03-01,South,Monitor,85,315,26775
2024-03-08,East,Laptop,115,1250,143750
2024-03-15,North,Webcam,220,52,11440
2024-03-22,West,Keyboard,105,74,
2024-03-29,Central,Mouse,170,26,4420
2024-04-05,South,Tablet,95,680,64600
2024-04-12,Northeast,Docking Station,130,185,24000
2024-04-19,North,Laptop,120,1220,150000
2024-04-26,West,Headset,200,95,19000
2024-05-03,Central,Monitor,88,330,29040
2024-05-10,South,Smartphone,150,780,117000
2024-05-17,East,Webcam,210,50,10500
2024-05-24,International,Laptop,140,1280,174720
2024-05-31,West,Mouse,240,24,5760
2024-06-07,North,Tablet,100,690,
2024-06-14,South,Keyboard,160,78,12480
2024-06-21,Central,Printer,70,420,29400
2024-06-28,Northeast,Laptop,130,1230,159900
2024-07-05,West,Monitor,110,340,37400
2024-07-12,South,Smartphone,175,800,140000
2024-07-19,International,Headset,260,88,22880
2024-07-26,North,Laptop,150,1250,182000
2024-08-02,Central,Tablet,120,700,84000
2024-08-09,East,Webcam,230,49,11270
2024-08-16,Southwest,Keyboard,170,76,12920
2024-08-23,South,Mouse,220,26,
2024-08-30,Northeast,Monitor,95,335,31825
2024-09-06,North,Laptop,160,1280,204800
2024-09-13,West,Gaming Console,140,450,60000
2024-09-20,Central,Docking Station,150,190,28500
2024-09-27,International,Tablet,180,720,121000
2024-10-04,South,Laptop,190,1300,247000
2024-10-11,East,Webcam,250,52,13000
2024-10-18,North,Keyboard,200,80,16000
2024-10-25,West,Monitor,130,345,44850
2024-10-31,Central,Smartphone,210,820,167000
2024-11-08,Northeast,Laptop,210,1320,277200
2024-11-15,South,Tablet,200,710,134500
2024-11-22,West,Headset,280,92,25760
2024-11-29,International,Mouse,260,27,7020
2024-12-06,North,Laptop,240,1350,324000
2024-12-13,South,Smartphone,240,850,204000
2024-12-20,East,Monitor,150,360,54000
2024-12-27,Central,Tablet,220,740,160000
2024-12-31,International,Gaming Console,180,470,84600
